season,round,race_name,air_temperature,track_temperature,humidity,wind_speed,rainfall_flag
2022,1,Bahrain Grand Prix,23.617791411042944,28.61042944785276,29.49079754601227,0.3049079754601227,0
2022,2,Saudi Arabian Grand Prix,25.42039473684211,28.40921052631579,59.66447368421053,2.359210526315789,0
2022,3,Australian Grand Prix,26.69743589743589,37.40833333333334,43.65384615384615,1.8128205128205126,0
2022,4,Emilia Romagna Grand Prix,12.899367088607592,17.41898734177215,83.17088607594937,1.482278481012658,0
2022,5,Miami Grand Prix,30.617283950617285,42.81975308641975,58.858024691358025,2.2672839506172835,1
2022,6,Spanish Grand Prix,36.56585365853658,48.957317073170735,7.109756097560975,3.488414634146341,0
2022,7,Monaco Grand Prix,22.27469387755102,31.038367346938774,75.66530612244898,0.9902040816326529,1
2022,8,Azerbaijan Grand Prix,25.435403726708078,47.14968944099379,59.49068322981366,1.529192546583851,0
2022,9,Canadian Grand Prix,20.762962962962963,41.261111111111106,28.925925925925927,3.552469135802469,0
2022,10,British Grand Prix,18.25320197044335,30.026108374384233,59.748768472906406,1.4561576354679802,1
2022,11,Austrian Grand Prix,20.25592105263158,30.74671052631579,35.13815789473684,1.2552631578947369,0
2022,12,French Grand Prix,30.164843750000003,54.46171875,47.734375,1.9460937499999997,0
2022,13,Hungarian Grand Prix,18.559880239520957,26.720958083832333,69.31736526946108,4.0341317365269465,1
2022,14,Belgian Grand Prix,21.78717948717949,36.08397435897436,40.51923076923077,1.5192307692307692,0
2022,15,Dutch Grand Prix,22.73006134969325,33.44601226993865,75.38036809815951,1.061963190184049,0
2022,16,Italian Grand Prix,27.73469387755102,43.138775510204084,33.14965986394558,1.3612244897959185,0
2022,17,Singapore Grand Prix,26.23254901960784,28.973333333333333,87.44705882352942,0.9298039215686275,1
2022,18,Japanese Grand Prix,16.717647058823534,19.930588235294113,86.21176470588236,2.04078431372549,1
2022,19,United States Grand Prix,29.28529411764706,35.523529411764706,49.62352941176471,5.487058823529411,0
2022,20,Mexico City Grand Prix,24.312727272727273,41.689090909090915,34.442424242424245,1.336969696969697,0
2022,21,São Paulo Grand Prix,23.010778443113775,46.04910179640718,76.07784431137725,1.444311377245509,0
2022,22,Abu Dhabi Grand Prix,28.575483870967748,34.310322580645156,61.68387096774194,2.608387096774193,0
2023,1,Bahrain Grand Prix,27.43167701863354,31.01180124223602,21.496894409937887,0.6832298136645961,0
2023,2,Saudi Arabian Grand Prix,26.09189189189189,31.79256756756757,57.79054054054054,1.772297297297297,0
2023,3,Australian Grand Prix,17.449549549549552,30.13963963963964,54.15765765765766,1.1270270270270266,0
2023,4,Azerbaijan Grand Prix,24.860625,41.209999999999994,49.225,1.083125,0
2023,5,Miami Grand Prix,27.11741935483871,36.689032258064515,59.42580645161291,3.970322580645162,0
2023,6,Monaco Grand Prix,25.06590909090909,39.25568181818182,45.86363636363637,1.0056818181818181,1
2023,7,Spanish Grand Prix,22.674025974025977,33.838961038961045,63.077922077922075,1.8694805194805193,0
2023,8,Canadian Grand Prix,18.530246913580246,30.593209876543206,63.901234567901234,1.941975308641975,0
2023,9,Austrian Grand Prix,22.398039215686275,32.05424836601307,52.04575163398693,1.0973856209150326,1
2023,10,British Grand Prix,21.473509933774835,30.94105960264901,56.18543046357616,3.023841059602649,0
2023,11,Hungarian Grand Prix,28.808536585365857,48.579268292682926,32.80487804878049,1.4408536585365852,0
2023,12,Belgian Grand Prix,17.873333333333335,28.24066666666667,61.92666666666667,1.5946666666666667,1
2023,13,Dutch Grand Prix,16.791866028708135,24.94114832535885,70.77511961722487,2.8215311004784693,1
2023,14,Italian Grand Prix,29.330128205128204,42.928205128205136,42.32051282051282,1.13974358974359,0
2023,15,Singapore Grand Prix,29.844318181818185,36.42215909090909,72.0284090909091,1.4159090909090908,0
2023,16,Japanese Grand Prix,27.28860759493671,42.070253164556966,42.31645569620253,1.8297468354430382,0
2023,17,Qatar Grand Prix,31.46289308176101,36.93207547169812,73.15723270440252,0.889937106918239,0
2023,18,United States Grand Prix,29.96011904761904,40.62857142857143,41.910714285714285,3.314285714285714,0
2023,19,Mexico City Grand Prix,25.547368421052628,45.63947368421053,23.55263157894737,1.4900000000000002,0
2023,20,São Paulo Grand Prix,20.460109289617485,46.775956284153004,58.17486338797814,1.3092896174863389,1
2023,21,Las Vegas Grand Prix,18.05,17.99444444444444,47.361111111111114,2.3009259259259256,0
2023,22,Abu Dhabi Grand Prix,26.962820512820517,33.46089743589744,51.0,1.794871794871795,0
2024,1,Bahrain Grand Prix,18.22738853503185,23.652866242038222,48.82165605095541,0.7859872611464969,0
2024,2,Saudi Arabian Grand Prix,25.528082191780825,31.59315068493151,62.33561643835616,1.3027397260273974,0
2024,3,Australian Grand Prix,20.62222222222222,38.40208333333333,44.451388888888886,0.9534722222222223,0
2024,4,Japanese Grand Prix,21.691160220994476,37.50110497237569,43.430939226519335,2.2408839779005527,0
2024,5,Chinese Grand Prix,18.63939393939394,29.792727272727273,66.06060606060606,1.68,0
2024,6,Miami Grand Prix,28.521999999999995,44.664,59.00666666666667,3.080666666666666,0
2024,7,Emilia Romagna Grand Prix,25.113986013986015,42.023776223776224,48.42657342657343,2.141258741258741,0
2024,8,Monaco Grand Prix,21.596499999999995,46.318000000000005,63.99,0.9795,0
2024,9,Canadian Grand Prix,17.797345132743363,24.569911504424784,73.38053097345133,1.169911504424779,1
2024,10,Spanish Grand Prix,24.132467532467533,41.096103896103905,63.44155844155844,2.1233766233766236,1
