season,round,race_name,driver_code,fp_session,fp_gap_to_best_seconds
2024,2,Saudi Arabian Grand Prix,OCO,FP3,1.698
2024,2,Saudi Arabian Grand Prix,PER,FP1,0.5055
2024,2,Saudi Arabian Grand Prix,PER,FP2,3.876
2024,2,Saudi Arabian Grand Prix,PER,FP3,0.8895
2024,2,Saudi Arabian Grand Prix,PIA,FP1,3.0785
2024,2,Saudi Arabian Grand Prix,PIA,FP2,2.263
2024,2,Saudi Arabian Grand Prix,PIA,FP3,1.587
2024,2,Saudi Arabian Grand Prix,RIC,FP1,1.4735
2024,2,Saudi Arabian Grand Prix,RIC,FP2,0.465
2024,2,Saudi Arabian Grand Prix,RIC,FP3,2.0695
2024,2,Saudi Arabian Grand Prix,RUS,FP1,1.9729999999999999
2024,2,Saudi Arabian Grand Prix,RUS,FP2,1.9525000000000001
2024,2,Saudi Arabian Grand Prix,RUS,FP3,1.4385
2024,2,Saudi Arabian Grand Prix,SAI,FP1,2.6075
2024,2,Saudi Arabian Grand Prix,SAI,FP2,1.049
2024,2,Saudi Arabian Grand Prix,SAR,FP1,4.0705
2024,2,Saudi Arabian Grand Prix,SAR,FP2,0.0
2024,2,Saudi Arabian Grand Prix,STR,FP1,0.0
2024,2,Saudi Arabian Grand Prix,STR,FP2,0.272
2024,2,Saudi Arabian Grand Prix,STR,FP3,1.506
2024,2,Saudi Arabian Grand Prix,TSU,FP1,1.0245
2024,2,Saudi Arabian Grand Prix,TSU,FP2,0.359
2024,2,Saudi Arabian Grand Prix,TSU,FP3,2.1015
2024,2,Saudi Arabian Grand Prix,VER,FP1,3.1785
2024,2,Saudi Arabian Grand Prix,VER,FP2,3.469
2024,2,Saudi Arabian Grand Prix,VER,FP3,0.0
2024,2,Saudi Arabian Grand Prix,ZHO,FP1,2.1395
2024,2,Saudi Arabian Grand Prix,ZHO,FP2,1.1895
2024,2,Saudi Arabian Grand Prix,ZHO,FP3,2.1955
2024,3,Australian Grand Prix,ALB,FP1,1.2735
2024,3,Australian Grand Prix,ALB,FP3,1.1255
2024,3,Australian Grand Prix,ALO,FP1,1.027
2024,3,Australian Grand Prix,ALO,FP2,0.146
2024,3,Australian Grand Prix,ALO,FP3,0.582
2024,3,Australian Grand Prix,BOT,FP1,1.871
2024,3,Australian Grand Prix,BOT,FP2,1.556
2024,3,Australian Grand Prix,BOT,FP3,1.5835
2024,3,Australian Grand Prix,GAS,FP1,1.427
2024,3,Australian Grand Prix,GAS,FP2,1.1275
2024,3,Australian Grand Prix,GAS,FP3,1.5715
2024,3,Australian Grand Prix,HAM,FP1,2.358
2024,3,Australian Grand Prix,HAM,FP2,1.1475
2024,3,Australian Grand Prix,HAM,FP3,0.4145
2024,3,Australian Grand Prix,HUL,FP1,2.0465
2024,3,Australian Grand Prix,HUL,FP2,1.3565
2024,3,Australian Grand Prix,HUL,FP3,0.8075
2024,3,Australian Grand Prix,LEC,FP1,2.83
2024,3,Australian Grand Prix,LEC,FP2,0.1195
2024,3,Australian Grand Prix,LEC,FP3,0.216
2024,3,Australian Grand Prix,MAG,FP1,1.575
2024,3,Australian Grand Prix,MAG,FP2,1.5205
2024,3,Australian Grand Prix,MAG,FP3,0.8005
2024,3,Australian Grand Prix,NOR,FP1,3.037
